event_id,timestamp,event_type,severity,source_ip,destination_device,status,location
25,2025-01-16 15:21:00,Firewall Block,Low,86.71.139.120,Device-13,Allowed,KSA
26,2025-02-11 19:15:00,Phishing Attempt,Medium,241.136.237.25,Device-8,Blocked,UAE
27,2025-02-17 00:23:00,Phishing Attempt,High,215.159.172.136,Device-43,Blocked,UAE
28,2025-01-06 14:17:00,Malware,Medium,158.92.80.114,Device-50,Allowed,Egypt
29,2025-01-12 12:13:00,Malware,Medium,213.29.175.24,Device-43,Successful,UAE
30,2025-02-15 04:23:00,Malware,Low,103.211.14.30,Device-11,Successful,UAE
31,2025-01-01 00:46:00,Brute Force,Low,178.219.222.165,Device-21,Blocked,Germany
32,2025-01-09 15:20:00,Malware,Critical,254.220.244.110,Device-48,Failed,Unknown
33,2025-02-07 05:01:00,Phishing Attempt,Medium,216.112.67.105,Device-32,Failed,KSA
34,2025-01-26 01:31:00,Phishing Attempt,Medium,102.191.192.142,Device-14,Blocked,Egypt
35,2025-02-13 02:24:00,Brute Force,High,73.215.180.137,Device-5,Allowed,Egypt
36,2025-01-13 21:09:00,Port Scan,High,218.80.7.161,Device-1,Failed,KSA
37,2025-02-20 06:23:00,Brute Force,Medium,87.4.190.248,Device-31,Failed,Unknown
38,2025-01-10 08:08:00,Malware,High,89.198.216.163,Device-42,Failed,Unknown
39,2025-02-26 06:49:00,Failed Login,Low,156.202.98.131,Device-24,Failed,KSA
40,2025-01-06 03:38:00,Malware,Low,47.186.153.58,Device-10,Successful,UAE
41,2025-01-21 10:28:00,Failed Login,Low,184.232.228.253,Device-40,Blocked,USA
42,2025-02-17 08:19:00,Phishing Attempt,Low,89.64.176.150,Device-9,Successful,Germany
43,2025-01-28 12:29:00,Brute Force,High,68.5.129.112,Device-38,Blocked,Germany
44,2025-02-16 15:07:00,Phishing Attempt,Low,70.37.93.55,Device-3,Blocked,Egypt
45,2025-01-14 15:23:00,Malware,Low,5.162.164.154,Device-3,Successful,Germany
46,2025-02-17 03:07:00,Firewall Block,Low,66.255.195.21,Device-39,Successful,KSA
47,2025-02-05 20:43:00,Phishing Attempt,Low,226.131.128.172,Device-15,Successful,Egypt
48,2025-02-04 03:47:00,Brute Force,Medium,12.64.150.57,Device-45,Successful,Unknown
49,2025-02-09 14:05:00,Failed Login,Low,109.221.102.62,Device-27,Failed,Germany
50,2025-02-11 10:38:00,Brute Force,High,162.138.123.134,Device-46,Blocked,KSA
51,2025-01-12 00:22:00,Malware,Medium,7.243.242.139,Device-16,Allowed,Unknown
52,2025-02-07 00:09:00,Firewall Block,Medium,153.36.246.102,Device-16,Allowed,Germany
53,2025-02-09 12:23:00,Brute Force,Medium,113.175.36.219,Device-33,Failed,Germany
54,2025-01-17 07:14:00,Port Scan,Critical,88.167.88.250,Device-2,Blocked,Unknown
55,2025-02-22 05:30:00,Malware,Critical,98.151.68.74,Device-49,Allowed,USA
56,2025-01-02 01:39:00,Firewall Block,Low,84.75.1.176,Device-12,Successful,Egypt
57,2025-01-16 06:55:00,Failed Login,Medium,47.75.31.226,Device-11,Successful,KSA
58,2025-01-14 15:57:00,Port Scan,High,46.55.226.211,Device-47,Blocked,USA
59,2025-02-18 07:01:00,Phishing Attempt,Medium,211.84.25.146,Device-23,Blocked,Germany
60,2025-02-23 07:23:00,Failed Login,Medium,95.173.136.37,Device-46,Failed,Unknown
61,2025-01-25 07:17:00,Port Scan,Low,239.126.106.138,Device-32,Allowed,Germany
62,2025-02-19 15:44:00,Port Scan,High,154.88.202.54,Device-27,Allowed,UAE
63,2025-02-01 10:56:00,Failed Login,Low,3.244.97.113,Device-10,Allowed,KSA
64,2025-01-18 00:04:00,Port Scan,Low,164.210.139.123,Device-38,Allowed,KSA
65,2025-01-04 05:27:00,Port Scan,Medium,182.80.146.102,Device-47,Blocked,USA
66,2025-01-07 08:13:00,Firewall Block,High,101.141.148.18,Device-38,Failed,KSA
67,2025-01-06 04:17:00,Malware,Low,12.133.212.137,Device-22,Allowed,UAE
68,2025-01-14 20:16:00,Malware,Low,87.72.10.205,Device-9,Blocked,Egypt
69,2025-01-06 18:29:00,Brute Force,Low,175.78.167.227,Device-27,Allowed,Egypt
70,2025-02-23 23:38:00,Failed Login,Medium,154.240.237.237,Device-46,Allowed,USA
71,2025-02-19 01:30:00,Firewall Block,Low,65.8.230.141,Device-23,Allowed,USA
72,2025-01-25 16:49:00,Failed Login,Low,121.141.187.247,Device-14,Allowed,Egypt
73,2025-01-27 10:15:00,Firewall Block,Medium,10.84.241.224,Device-5,Allowed,UAE
74,2025-01-11 01:44:00,Malware,Low,137.55.126.147,Device-46,Failed,UAE
75,2025-02-20 03:17:00,Malware,Medium,134.18.199.15,Device-33,Allowed,KSA
76,2025-01-01 22:29:00,Phishing Attempt,Critical,66.57.141.25,Device-41,Failed,USA
77,2025-02-12 17:58:00,Port Scan,High,3.93.73.180,Device-2,Successful,Unknown
78,2025-01-21 21:46:00,Firewall Block,Low,78.148.129.58,Device-19,Blocked,Germany
79,2025-01-07 19:41:00,Phishing Attempt,Low,194.21.235.65,Device-26,Blocked,UAE
80,2025-02-08 15:41:00,Port Scan,Low,184.155.201.114,Device-37,Allowed,UAE
81,2025-01-19 00:36:00,Failed Login,Low,151.197.226.10,Device-13,Failed,USA
82,2025-01-31 07:15:00,Port Scan,High,244.25.255.147,Device-7,Failed,Unknown
83,2025-02-15 11:06:00,Firewall Block,Medium,212.133.209.11,Device-9,Failed,Germany
84,2025-02-18 07:46:00,Firewall Block,Low,239.157.173.144,Device-7,Blocked,Unknown
85,2025-02-05 12:58:00,Failed Login,Low,23.195.76.174,Device-25,Blocked,KSA
86,2025-02-08 15:52:00,Failed Login,Low,117.26.231.101,Device-28,Successful,Egypt
87,2025-02-26 10:13:00,Failed Login,High,83.83.124.181,Device-9,Allowed,USA
88,2025-01-04 05:18:00,Phishing Attempt,Low,235.89.26.219,Device-28,Failed,Egypt
89,2025-02-14 18:53:00,Phishing Attempt,Low,192.199.152.111,Device-32,Allowed,UAE
90,2025-02-11 21:06:00,Brute Force,Low,106.110.146.107,Device-40,Allowed,Egypt
91,2025-02-27 20:42:00,Malware,Low,122.56.253.122,Device-43,Allowed,UAE
92,2025-01-21 13:40:00,Brute Force,High,205.200.252.192,Device-48,Blocked,KSA
93,2025-01-09 10:30:00,Phishing Attempt,Critical,165.220.10.101,Device-22,Allowed,Egypt
94,2025-01-17 06:10:00,Malware,Medium,219.208.202.205,Device-13,Allowed,Egypt
95,2025-02-11 01:26:00,Brute Force,Low,135.99.2.24,Device-50,Blocked,Germany
96,2025-02-09 13:26:00,Firewall Block,Medium,21.233.31.76,Device-6,Successful,KSA
97,2025-01-25 04:25:00,Brute Force,High,236.54.178.162,Device-29,Failed,Unknown
98,2025-02-04 05:46:00,Firewall Block,Low,179.33.98.243,Device-50,Blocked,Unknown
99,2025-02-14 20:11:00,Malware,Medium,52.219.120.85,Device-45,Failed,Egypt
100,2025-01-31 12:27:00,Port Scan,Low,62.134.144.99,Device-44,Allowed,UAE
101,2025-02-25 13:54:00,Phishing Attempt,Low,141.231.170.169,Device-41,Successful,KSA
102,2025-01-07 12:38:00,Brute Force,Medium,53.24.236.37,Device-6,Blocked,Germany
103,2025-02-04 05:53:00,Phishing Attempt,Medium,63.74.79.4,Device-8,Successful,UAE
104,2025-02-13 19:13:00,Firewall Block,Medium,5.249.31.115,Device-31,Allowed,UAE
105,2025-02-04 17:09:00,Phishing Attempt,Low,254.227.175.186,Device-17,Successful,Germany
106,2025-01-23 11:38:00,Brute Force,Critical,35.70.213.122,Device-50,Blocked,Germany
107,2025-02-20 11:26:00,Failed Login,Low,62.1.72.90,Device-47,Allowed,KSA
108,2025-02-19 05:17:00,Phishing Attempt,Critical,133.250.20.237,Device-40,Successful,UAE
109,2025-02-25 19:43:00,Port Scan,Critical,7.64.113.230,Device-36,Blocked,UAE
110,2025-01-30 03:43:00,Brute Force,Low,156.7.45.102,Device-26,Successful,KSA
111,2025-01-31 16:47:00,Phishing Attempt,Medium,18.134.23.214,Device-39,Failed,Egypt
112,2025-02-03 15:58:00,Phishing Attempt,Medium,199.185.138.7,Device-41,Blocked,Unknown
113,2025-01-24 00:46:00,Failed Login,Low,79.181.140.252,Device-37,Allowed,Unknown
114,2025-02-15 04:44:00,Failed Login,Low,10.69.72.31,Device-44,Failed,KSA
115,2025-03-01 11:48:00,Brute Force,Low,226.188.174.218,Device-30,Allowed,Germany
116,2025-02-01 14:22:00,Malware,Medium,118.69.21.255,Device-21,Blocked,Unknown
117,2025-01-24 20:28:00,Port Scan,Low,12.143.101.202,Device-38,Allowed,Unknown
118,2025-01-13 10:58:00,Phishing Attempt,Low,45.161.126.197,Device-21,Failed,Germany
119,2025-02-27 04:13:00,Malware,Low,250.180.60.227,Device-45,Successful,Egypt
120,2025-02-03 18:37:00,Port Scan,Medium,105.99.209.228,Device-9,Successful,Egypt
121,2025-02-01 18:51:00,Phishing Attempt,Low,119.112.75.132,Device-13,Blocked,Germany
122,2025-01-28 21:07:00,Phishing Attempt,Medium,151.118.83.132,Device-25,Blocked,Egypt
123,2025-01-23 12:15:00,Port Scan,High,210.189.49.240,Device-32,Allowed,Unknown
124,2025-01-29 02:21:00,Firewall Block,Low,218.37.237.94,Device-8,Blocked,Germany
125,2025-02-04 02:20:00,Failed Login,Medium,7.44.43.145,Device-38,Allowed,Egypt
126,2025-01-04 16:43:00,Malware,Low,212.32.47.223,Device-46,Successful,Egypt
127,2025-02-03 05:22:00,Phishing Attempt,Low,204.221.38.189,Device-21,Successful,UAE
128,2025-01-09 08:42:00,Port Scan,Low,135.216.184.167,Device-36,Blocked,Germany
129,2025-02-04 19:12:00,Failed Login,High,208.95.123.77,Device-40,Blocked,Germany
130,2025-02-13 20:30:00,Phishing Attempt,Medium,12.59.195.5,Device-40,Blocked,KSA
131,2025-02-02 14:28:00,Firewall Block,Low,59.42.132.57,Device-47,Failed,Egypt
132,2025-01-14 14:30:00,Brute Force,Low,188.70.202.227,Device-6,Failed,UAE
133,2025-01-27 19:18:00,Brute Force,Medium,80.188.117.195,Device-14,Successful,UAE
134,2025-02-19 15:29:00,Firewall Block,Medium,23.10.242.153,Device-26,Successful,Egypt
135,2025-01-20 12:47:00,Failed Login,Low,235.59.107.154,Device-7,Successful,Unknown
136,2025-01-19 11:59:00,Firewall Block,Low,22.115.69.142,Device-29,Successful,Egypt
137,2025-02-23 18:04:00,Firewall Block,Medium,156.165.168.48,Device-2,Failed,KSA
138,2025-02-03 18:09:00,Malware,High,52.36.214.72,Device-20,Blocked,USA
139,2025-01-10 04:43:00,Firewall Block,Medium,102.116.125.216,Device-11,Allowed,USA
140,2025-02-26 15:00:00,Malware,Medium,218.141.126.240,Device-41,Failed,Unknown
141,2025-01-06 22:39:00,Phishing Attempt,Low,249.231.74.65,Device-32,Blocked,KSA
142,2025-02-19 05:22:00,Phishing Attempt,Low,188.192.21.201,Device-11,Blocked,Germany
143,2025-01-04 03:36:00,Failed Login,High,38.250.69.206,Device-26,Successful,UAE
144,2025-02-15 16:16:00,Firewall Block,Medium,103.229.255.201,Device-27,Failed,USA
145,2025-01-29 02:12:00,Firewall Block,Low,160.63.189.216,Device-26,Failed,Egypt
146,2025-02-27 23:00:00,Malware,Low,109.213.173.81,Device-27,Successful,Unknown
147,2025-02-05 09:00:00,Firewall Block,High,153.76.122.159,Device-12,Failed,Unknown
148,2025-01-28 18:08:00,Port Scan,Medium,46.80.239.53,Device-26,Blocked,Germany
149,2025-01-29 03:42:00,Phishing Attempt,High,211.72.7.222,Device-38,Successful,KSA
150,2025-02-06 03:56:00,Phishing Attempt,Low,226.147.80.92,Device-27,Allowed,KSA
151,2025-01-22 17:44:00,Malware,Low,57.223.171.109,Device-18,Allowed,Unknown
152,2025-01-21 04:25:00,Malware,High,151.213.234.195,Device-25,Failed,Egypt
153,2025-02-21 12:17:00,Firewall Block,Low,48.108.30.8,Device-3,Failed,UAE
154,2025-01-20 13:28:00,Phishing Attempt,Low,194.22.90.245,Device-14,Failed,Egypt
155,2025-01-06 10:29:00,Failed Login,Low,193.249.200.147,Device-40,Failed,KSA
156,2025-01-18 01:14:00,Firewall Block,Medium,121.26.161.178,Device-34,Blocked,USA
157,2025-01-03 09:03:00,Failed Login,Low,37.58.89.127,Device-23,Allowed,Egypt
158,2025-02-04 08:40:00,Malware,Medium,149.206.57.165,Device-33,Failed,Unknown
159,2025-02-27 17:51:00,Phishing Attempt,Medium,229.104.124.103,Device-22,Successful,Germany
160,2025-01-29 20:19:00,Malware,High,31.190.160.243,Device-40,Allowed,Unknown
161,2025-01-01 08:38:00,Port Scan,Critical,81.64.155.62,Device-8,Failed,KSA
162,2025-02-27 15:41:00,Failed Login,Medium,53.220.245.78,Device-37,Failed,Unknown
163,2025-01-22 03:25:00,Port Scan,Low,53.234.191.8,Device-28,Failed,USA
164,2025-02-11 04:55:00,Brute Force,High,80.95.46.130,Device-10,Failed,UAE
165,2025-01-06 16:48:00,Failed Login,High,111.232.49.130,Device-45,Blocked,UAE
166,2025-01-21 12:49:00,Port Scan,Low,12.217.157.92,Device-46,Successful,USA
167,2025-01-16 13:31:00,Brute Force,Low,201.248.132.73,Device-12,Allowed,Germany
168,2025-01-18 11:31:00,Firewall Block,High,222.32.179.80,Device-14,Successful,USA
169,2025-01-02 13:19:00,Failed Login,High,204.205.64.18,Device-27,Failed,USA
170,2025-01-10 20:25:00,Failed Login,Low,140.155.156.238,Device-45,Failed,KSA
171,2025-03-01 11:32:00,Firewall Block,Low,81.237.26.2,Device-47,Failed,Unknown
172,2025-01-21 12:46:00,Malware,Medium,119.49.11.126,Device-22,Successful,Unknown
173,2025-02-03 16:40:00,Port Scan,Low,64.167.101.245,Device-21,Failed,UAE
174,2025-02-09 03:00:00,Port Scan,Medium,183.34.128.106,Device-50,Allowed,Unknown
175,2025-02-13 11:12:00,Port Scan,Low,199.139.162.16,Device-40,Failed,Germany
176,2025-01-07 12:41:00,Brute Force,Low,71.21.147.226,Device-26,Blocked,Unknown
177,2025-01-03 20:35:00,Failed Login,Medium,88.214.37.69,Device-20,Failed,KSA
178,2025-02-24 19:17:00,Phishing Attempt,High,148.127.232.112,Device-25,Blocked,Germany
179,2025-01-29 22:59:00,Firewall Block,Medium,163.116.233.210,Device-38,Allowed,USA
180,2025-01-02 23:15:00,Port Scan,Low,8.35.255.209,Device-47,Blocked,Egypt
181,2025-01-09 22:19:00,Brute Force,Medium,18.58.207.239,Device-29,Successful,Germany
182,2025-01-09 07:27:00,Port Scan,Medium,177.101.122.148,Device-28,Allowed,Unknown
183,2025-02-15 20:30:00,Malware,High,153.136.117.214,Device-3,Successful,USA
184,2025-01-22 14:11:00,Firewall Block,Low,88.144.192.240,Device-26,Failed,UAE
185,2025-01-20 21:58:00,Firewall Block,Low,206.12.189.150,Device-7,Successful,UAE
186,2025-02-05 09:11:00,Malware,Low,181.198.87.62,Device-49,Allowed,KSA
187,2025-02-18 23:12:00,Phishing Attempt,Medium,212.47.246.187,Device-16,Successful,UAE
188,2025-02-13 08:12:00,Brute Force,High,166.254.47.116,Device-26,Failed,USA
189,2025-02-16 06:20:00,Brute Force,Low,4.39.242.105,Device-10,Failed,UAE
190,2025-02-24 12:38:00,Port Scan,High,70.222.5.209,Device-29,Successful,Unknown
191,2025-01-29 02:51:00,Malware,Low,55.124.150.166,Device-45,Blocked,USA
192,2025-02-08 05:24:00,Failed Login,Low,8.148.3.31,Device-28,Successful,Germany
193,2025-02-11 18:39:00,Firewall Block,Low,246.94.2.176,Device-6,Allowed,Egypt
194,2025-01-03 14:20:00,Failed Login,Low,221.118.95.70,Device-26,Successful,UAE
195,2025-01-23 00:26:00,Firewall Block,Medium,176.184.33.95,Device-16,Allowed,USA
196,2025-02-24 13:42:00,Failed Login,Medium,165.211.88.34,Device-21,Failed,Egypt
197,2025-01-22 15:05:00,Brute Force,Low,158.150.159.133,Device-44,Successful,Unknown
198,2025-02-23 23:38:00,Port Scan,Low,142.126.39.161,Device-27,Blocked,Unknown
199,2025-01-08 22:21:00,Firewall Block,Medium,175.209.223.100,Device-17,Allowed,Germany
200,2025-01-27 10:48:00,Failed Login,Low,141.1.61.26,Device-20,Blocked,Egypt
201,2025-01-13 07:31:00,Malware,High,173.229.180.248,Device-24,Successful,Germany
202,2025-02-21 22:48:00,Malware,High,85.91.20.93,Device-50,Allowed,USA
203,2025-02-24 02:55:00,Failed Login,Low,232.60.158.250,Device-11,Failed,UAE
204,2025-01-05 20:35:00,Brute Force,Low,45.75.161.112,Device-19,Blocked,UAE
205,2025-02-23 07:27:00,Brute Force,Low,59.148.85.71,Device-25,Successful,Germany
206,2025-01-07 01:30:00,Malware,Low,193.74.172.189,Device-27,Successful,Egypt
207,2025-01-23 09:20:00,Failed Login,Low,129.58.223.155,Device-22,Failed,KSA
208,2025-02-03 17:23:00,Failed Login,Low,3.132.245.137,Device-29,Allowed,USA
209,2025-02-22 21:34:00,Phishing Attempt,Low,151.149.12.41,Device-19,Allowed,Germany
210,2025-01-03 22:41:00,Firewall Block,Low,28.85.187.198,Device-47,Blocked,KSA
211,2025-01-12 06:37:00,Brute Force,Medium,75.249.160.253,Device-45,Failed,Germany
212,2025-01-14 16:06:00,Firewall Block,Medium,63.199.122.49,Device-29,Failed,KSA
213,2025-02-15 01:17:00,Port Scan,Low,246.115.133.93,Device-6,Failed,Unknown
214,2025-01-25 23:26:00,Brute Force,Low,124.48.238.227,Device-3,Successful,Germany
215,2025-01-28 11:49:00,Phishing Attempt,Low,249.68.192.141,Device-47,Successful,USA
216,2025-01-26 01:01:00,Malware,Low,146.54.1.87,Device-23,Allowed,USA
217,2025-01-15 12:24:00,Phishing Attempt,Low,72.205.42.45,Device-5,Blocked,UAE
218,2025-02-05 01:37:00,Malware,Low,215.11.181.108,Device-34,Failed,UAE
219,2025-01-28 18:02:00,Malware,Low,74.42.116.216,Device-46,Successful,USA
220,2025-02-15 03:27:00,Phishing Attempt,High,125.101.183.137,Device-48,Blocked,Germany
221,2025-02-12 20:08:00,Malware,Medium,64.67.102.220,Device-28,Failed,UAE
222,2025-01-08 09:05:00,Malware,High,132.19.50.181,Device-42,Failed,Egypt
223,2025-01-21 06:33:00,Brute Force,Low,246.91.63.222,Device-19,Blocked,USA
224,2025-02-10 06:07:00,Phishing Attempt,Medium,142.245.138.83,Device-33,Blocked,USA
225,2025-01-06 05:30:00,Malware,Medium,140.220.168.39,Device-2,Failed,USA
226,2025-02-20 12:10:00,Failed Login,Low,25.97.65.222,Device-11,Successful,USA
227,2025-01-24 02:53:00,Malware,High,57.160.71.59,Device-49,Successful,Germany
228,2025-02-01 13:47:00,Phishing Attempt,Medium,215.105.1.182,Device-1,Blocked,USA
229,2025-01-14 01:44:00,Port Scan,High,51.91.213.174,Device-4,Allowed,Germany
230,2025-01-19 15:06:00,Malware,Low,123.131.165.248,Device-21,Successful,UAE
231,2025-02-22 20:35:00,Firewall Block,Low,85.64.16.195,Device-28,Blocked,Egypt
232,2025-02-22 21:58:00,Brute Force,High,3.8.180.165,Device-16,Blocked,UAE
233,2025-02-11 19:50:00,Firewall Block,Low,249.35.135.96,Device-27,Failed,Unknown
234,2025-01-29 20:55:00,Malware,Low,137.233.145.137,Device-23,Blocked,KSA
235,2025-02-20 17:01:00,Brute Force,Low,254.246.154.164,Device-35,Blocked,USA
236,2025-01-09 16:11:00,Port Scan,High,203.231.99.23,Device-37,Blocked,UAE
237,2025-03-01 22:37:00,Failed Login,High,69.70.68.50,Device-15,Failed,Germany
238,2025-02-08 14:52:00,Failed Login,Low,86.118.226.126,Device-33,Blocked,USA
239,2025-01-08 21:28:00,Failed Login,Low,106.42.212.119,Device-45,Successful,UAE
240,2025-02-10 19:21:00,Failed Login,Low,118.252.195.102,Device-12,Failed,Germany
241,2025-02-08 20:49:00,Port Scan,Low,205.88.69.79,Device-28,Successful,Unknown
242,2025-02-25 04:47:00,Malware,Medium,63.199.133.245,Device-30,Blocked,UAE
243,2025-02-24 17:19:00,Failed Login,Low,234.95.161.110,Device-36,Failed,Germany
244,2025-02-18 02:33:00,Malware,High,48.41.142.246,Device-28,Failed,KSA
245,2025-02-23 16:05:00,Malware,Critical,156.41.169.42,Device-8,Successful,Egypt
246,2025-01-02 08:15:00,Malware,Low,237.7.227.230,Device-25,Successful,Germany
247,2025-01-19 16:28:00,Malware,Critical,212.12.86.237,Device-45,Allowed,Egypt
248,2025-01-12 21:50:00,Malware,Low,23.240.58.171,Device-32,Successful,USA
249,2025-01-28 15:35:00,Brute Force,Low,252.210.40.104,Device-14,Allowed,KSA
250,2025-02-25 12:19:00,Firewall Block,Low,121.67.174.155,Device-19,Blocked,Germany
251,2025-01-12 07:48:00,Brute Force,Low,13.107.215.243,Device-45,Successful,UAE
252,2025-02-21 10:10:00,Failed Login,Low,241.192.181.83,Device-46,Blocked,KSA
253,2025-01-21 02:22:00,Phishing Attempt,Low,182.202.183.182,Device-23,Failed,UAE
254,2025-01-31 22:26:00,Failed Login,Low,11.130.149.204,Device-27,Successful,Germany
255,2025-02-14 00:12:00,Brute Force,Medium,36.70.202.65,Device-5,Failed,Germany
256,2025-01-22 05:35:00,Brute Force,Low,141.255.93.71,Device-50,Blocked,USA
257,2025-01-22 05:56:00,Firewall Block,Medium,166.178.178.16,Device-43,Blocked,UAE
258,2025-01-24 11:24:00,Malware,Medium,185.67.84.75,Device-15,Failed,KSA
259,2025-02-23 23:54:00,Phishing Attempt,Medium,153.188.140.130,Device-40,Successful,USA
260,2025-01-20 13:35:00,Firewall Block,Critical,250.158.95.240,Device-30,Blocked,Unknown
261,2025-01-19 15:30:00,Failed Login,Low,98.117.93.42,Device-35,Allowed,UAE
262,2025-01-21 08:59:00,Brute Force,High,137.169.45.151,Device-50,Successful,Unknown
263,2025-01-11 05:51:00,Port Scan,High,106.210.195.178,Device-38,Allowed,Germany
264,2025-02-26 20:19:00,Failed Login,Medium,212.81.240.102,Device-7,Blocked,KSA
265,2025-02-24 00:31:00,Failed Login,High,135.225.234.159,Device-6,Allowed,KSA
266,2025-02-27 18:32:00,Failed Login,High,192.98.45.40,Device-6,Allowed,KSA
267,2025-02-04 12:19:00,Port Scan,Medium,146.214.173.183,Device-20,Failed,UAE
268,2025-02-26 11:23:00,Brute Force,Medium,174.14.90.9,Device-22,Allowed,USA
269,2025-01-01 08:52:00,Phishing Attempt,Low,160.196.153.15,Device-46,Successful,Unknown
270,2025-01-24 01:48:00,Malware,Low,71.245.174.112,Device-15,Successful,Germany
271,2025-02-18 02:11:00,Malware,Low,29.22.12.42,Device-33,Allowed,UAE
272,2025-01-23 15:22:00,Brute Force,Medium,45.96.18.41,Device-43,Blocked,KSA
273,2025-02-17 18:47:00,Brute Force,Critical,173.39.14.215,Device-8,Failed,USA
274,2025-01-02 14:53:00,Port Scan,High,87.159.78.28,Device-31,Failed,Unknown
275,2025-01-02 21:40:00,Phishing Attempt,High,244.57.65.183,Device-3,Successful,KSA
276,2025-01-26 07:47:00,Phishing Attempt,Medium,228.135.71.115,Device-29,Blocked,Germany
277,2025-01-14 12:53:00,Firewall Block,Medium,235.191.150.85,Device-31,Failed,Unknown
278,2025-02-07 20:31:00,Failed Login,Low,161.88.32.174,Device-28,Successful,Germany
279,2025-02-07 11:28:00,Malware,Low,191.172.23.219,Device-44,Blocked,Germany
280,2025-01-15 18:08:00,Phishing Attempt,High,126.68.16.22,Device-37,Allowed,Egypt
281,2025-02-14 03:18:00,Malware,Medium,24.6.143.16,Device-40,Allowed,Egypt
282,2025-03-01 04:56:00,Failed Login,Low,223.67.66.99,Device-47,Failed,UAE
283,2025-01-22 02:05:00,Brute Force,Medium,221.136.132.114,Device-43,Failed,Germany
284,2025-02-25 21:07:00,Phishing Attempt,High,126.132.99.38,Device-38,Blocked,USA
285,2025-01-15 07:42:00,Failed Login,Medium,249.30.85.30,Device-47,Blocked,Unknown
286,2025-01-19 01:34:00,Failed Login,Low,167.69.209.160,Device-4,Allowed,KSA
287,2025-02-24 03:14:00,Firewall Block,Low,216.5.34.130,Device-8,Allowed,UAE
288,2025-01-26 01:15:00,Port Scan,Medium,170.103.105.71,Device-28,Allowed,Egypt
289,2025-02-21 19:13:00,Port Scan,Medium,33.111.106.192,Device-46,Allowed,Unknown
290,2025-02-01 15:26:00,Failed Login,Low,104.151.68.38,Device-32,Successful,USA
291,2025-02-03 16:10:00,Port Scan,Low,72.114.247.141,Device-8,Allowed,KSA
292,2025-01-09 11:26:00,Failed Login,Low,67.194.254.31,Device-28,Failed,Egypt
293,2025-02-11 04:55:00,Malware,Medium,246.38.91.216,Device-35,Allowed,Germany
294,2025-02-14 20:04:00,Brute Force,Low,193.128.31.192,Device-9,Failed,KSA
295,2025-01-24 05:07:00,Failed Login,Low,119.177.44.247,Device-40,Allowed,Germany
296,2025-02-03 10:57:00,Brute Force,High,196.197.217.30,Device-22,Failed,USA
297,2025-02-24 02:51:00,Firewall Block,Low,254.70.223.106,Device-6,Allowed,Egypt
298,2025-01-31 19:43:00,Port Scan,Low,142.225.78.187,Device-5,Successful,KSA
299,2025-02-22 03:44:00,Malware,High,36.169.31.248,Device-10,Allowed,USA
300,2025-01-31 01:53:00,Port Scan,Medium,31.9.169.59,Device-42,Failed,Germany
301,2025-01-17 22:43:00,Brute Force,High,179.68.144.76,Device-24,Allowed,USA
302,2025-01-31 12:02:00,Port Scan,Low,174.94.190.175,Device-38,Successful,Egypt
303,2025-01-27 15:28:00,Phishing Attempt,Low,242.252.137.202,Device-21,Allowed,Egypt
